Trait,Outcome,r,p,N
extraversion,phq4_slope,0.047356694171851337,0.27241673587216536,539
agreeableness,phq4_slope,0.019800103336314052,0.6464752124308932,539
conscientiousness,phq4_slope,-0.06333025459169116,0.1420065509308346,539
neuroticism,phq4_slope,-0.01165808746172073,0.7871299941307024,539
openness,phq4_slope,-0.04511267754529149,0.2958133913900202,539
extraversion,phq4_mean,-0.032888490442520894,0.4460689718050886,539
agreeableness,phq4_mean,-0.06048509179227874,0.1608350806123813,539
conscientiousness,phq4_mean,-0.09394930760567329,0.02918902922408843,539
neuroticism,phq4_mean,0.339239927550447,5.539744369890645e-16,539
openness,phq4_mean,0.02398867182876319,0.5784043487962757,539
