Outcome,Trait,r,p,N,delta_mean,delta_sd
STAI,extraversion,-0.07063895795536271,0.3529254567831967,175,2.337142857142857,11.130652657029083
STAI,agreeableness,-0.02471216601911664,0.7454701848512212,175,2.337142857142857,11.130652657029083
STAI,conscientiousness,0.00928819095616984,0.9029043267969964,175,2.337142857142857,11.130652657029083
STAI,neuroticism,0.08214030757027176,0.27985094861076665,175,2.337142857142857,11.130652657029083
STAI,openness,0.03744868542935813,0.6227038361980881,175,2.337142857142857,11.130652657029083
PSS-10,extraversion,-0.0034046913216053717,0.9261822711619411,743,-0.6433378196500673,5.408449579069397
PSS-10,agreeableness,-0.023566966030781823,0.5212651123505888,743,-0.6433378196500673,5.408449579069397
PSS-10,conscientiousness,0.021996312132839115,0.5494136462504307,743,-0.6433378196500673,5.408449579069397
PSS-10,neuroticism,-0.017534992019477707,0.6332188424671201,743,-0.6433378196500673,5.408449579069397
PSS-10,openness,-0.0490077555109085,0.1820703654878789,743,-0.6433378196500673,5.408449579069397
CESD-10,extraversion,-0.022296641037340435,0.6136820632473257,515,0.36310679611650487,4.607787991368234
CESD-10,agreeableness,-0.024633303976605184,0.577018587222313,515,0.36310679611650487,4.607787991368234
CESD-10,conscientiousness,-0.03174262126372736,0.4722731136082357,515,0.36310679611650487,4.607787991368234
CESD-10,neuroticism,-0.03183163501904944,0.47103126438203113,515,0.36310679611650487,4.607787991368234
CESD-10,openness,-0.03161509131708769,0.4740554396062057,515,0.36310679611650487,4.607787991368234
UCLA,extraversion,0.017408815202111228,0.6356661455229464,743,-0.46837146702557203,4.2067534474967445
UCLA,agreeableness,-0.0034287695970774386,0.9256617305154773,743,-0.46837146702557203,4.2067534474967445
UCLA,conscientiousness,0.012052329287912694,0.7429256528272454,743,-0.46837146702557203,4.2067534474967445
UCLA,neuroticism,-0.02759660884627572,0.4525890837342888,743,-0.46837146702557203,4.2067534474967445
UCLA,openness,-0.021296991426792783,0.5621828447900599,743,-0.46837146702557203,4.2067534474967445
