Features,Model,N,R2_kfold,R2_kfold_std,R2_kfold_ci_lo,R2_kfold_ci_hi
Personality,Elastic Net,498,0.2587438401966229,0.1268350219173955,-0.049493070159374666,0.4384045940174679
Personality,Ridge,498,0.2597315712644905,0.1267262554052917,-0.04593810222421812,0.43977939007499306
Personality,Random Forest,498,0.2836350577589497,0.14512682121693646,-0.03881923900254374,0.5161471479878484
Personality,SVR,498,0.18541117534865761,0.12918905406277761,-0.09932552310578399,0.38517912743468175
Behavior,Elastic Net,363,-0.02428707914013991,0.059904971039999366,-0.18330584313818657,0.048973788683803726
Behavior,Ridge,363,-0.022710585434008522,0.06005428396688707,-0.17809543777827846,0.047825175202731704
Behavior,Random Forest,363,-0.034925478619732636,0.08397639577616012,-0.2638293071984263,0.07603037560312063
Behavior,SVR,363,-0.10817452355966793,0.08441584459514324,-0.2853272349473157,0.01707478818931514
Pers + Beh,Elastic Net,363,0.3002045094168062,0.12819033691523887,-0.0008797735981651879,0.48100825767533417
Pers + Beh,Ridge,363,0.30473485654364746,0.13002663870983028,0.0008350997829210706,0.5044487702660385
Pers + Beh,Random Forest,363,0.31274224056152067,0.1552724361352702,-0.03961823700874225,0.5847649804604368
Pers + Beh,SVR,363,0.2433205011035253,0.12045891350635698,-0.03974670876745234,0.4428171748134711
