Personality,Behavior,R2_main,R2_interaction,Delta_R2,F,p,N,interaction_beta
extraversion,nh_activity_pc1,0.002828822599699854,0.006873298177895948,0.004044475578196094,0.5334931582965278,0.466446191839772,135,0.07637965151667939
extraversion,nh_sleep_pc1,0.021673835702036515,0.02225615007952164,0.0005823143774851269,0.0780195993631214,0.7804398517775228,135,0.04454138138033556
extraversion,nh_communication_pc1,0.008505494238652989,0.01905421171457833,0.01054871747592534,1.4087241169173959,0.23741621739574703,135,-0.14954844822318059
agreeableness,nh_activity_pc1,0.004908501220978412,0.005993117637822842,0.0010846164168444306,0.14294141532397386,0.7059861147269073,135,0.06308767290232858
agreeableness,nh_sleep_pc1,0.022093141274313832,0.024672836060822156,0.002579694786508324,0.34648888037498016,0.5571210236570705,135,0.08814757675088118
agreeableness,nh_communication_pc1,0.006685989346187804,0.020649910514537573,0.013963921168349769,1.867844494724962,0.17406318047831204,135,-0.23983091563042958
conscientiousness,nh_activity_pc1,0.11637387332761229,0.12424928129216439,0.007875407964552106,1.1780503530485942,0.2797465858113036,135,0.2035673579625224
conscientiousness,nh_sleep_pc1,0.1240772680455936,0.13338836611673877,0.009311098071145163,1.4074976605775937,0.23761943324317658,135,-0.2873844359766993
conscientiousness,nh_communication_pc1,0.10608485767346942,0.1438150191749228,0.03773016150145336,5.772877669411253,0.017677270312795534,135,-0.4501345798116361
neuroticism,nh_activity_pc1,0.01516670283613264,0.0199438878602608,0.004777185024128161,0.6385463346526828,0.42568413877313893,135,-0.11368631638236766
neuroticism,nh_sleep_pc1,0.03187205709979335,0.0320839770141621,0.00021191991436875224,0.02868173283945392,0.8657772232791647,135,0.022885932247635736
neuroticism,nh_communication_pc1,0.018010692462151145,0.02307061234221397,0.005059919880062824,0.6785029835958043,0.4115998080883444,135,0.11454124967744493
openness,nh_activity_pc1,0.007561015287178119,0.01635060773009811,0.008789592442919991,1.1705762429898172,0.2812704609188402,135,0.18805727033930464
openness,nh_sleep_pc1,0.02512911028663789,0.04040919720015712,0.01528008691351923,2.0859843381476675,0.15104386964754468,135,-0.367315133839967
openness,nh_communication_pc1,0.00979522973464031,0.013929478434695053,0.004134248700054743,0.5492371669801545,0.45995597840522096,135,-0.14373777957585412
