feature,importance
item9_score,3.2108767
item9_binary,0.28908357
app_switches_mean,0.17780103
unique_apps_mean,0.08686398
app_total_switches,0.061479647
distance_traveled_std,0.052359577
activity_transitions_mean,0.030149017
unique_apps_cv,0.03006459
distance_traveled_mean,0.014973701
activity_valid_days,0.0
communication_trend_slope,0.0
sms_count_mean,0.0
sms_count_std,0.0
sms_received_ratio,0.0
activity_total_samples,0.0
sms_unique_contacts_mean,0.0
total_unique_contacts,0.0
total_communication_cv,0.0
still_ratio_mean,0.0
comm_valid_days,0.0
activity_trend_slope,0.0
still_ratio_std,0.0
call_incoming_ratio,0.0
moving_ratio_mean,0.0
moving_ratio_std,0.0
sedentary_days_ratio,0.0
moving_ratio_cv,0.0
activity_transitions_std,0.0
call_unique_contacts_mean,0.0
location_variance_mean,0.0
call_duration_std,0.0
call_duration_mean,0.0
radius_of_gyration_mean,0.0
max_distance_from_home,0.0
home_stay_ratio,0.0
n_significant_locations,0.0
movement_entropy,0.0
distance_traveled_cv,0.0
radius_gyration_cv,0.0
gps_valid_days,0.0
gps_total_points,0.0
gps_points_per_day,0.0
app_switches_std,0.0
unique_apps_std,0.0
night_usage_ratio,0.0
night_usage_std,0.0
app_switches_cv,0.0
weekend_weekday_ratio,0.0
app_valid_days,0.0
call_count_mean,0.0
location_variance_std,0.0
call_count_std,0.0
