Feature,Elastic Net,Ridge,Random Forest,SVR
Extraversion,0.0,0.049210954693849875,0.024267965628661202,0.03588224476181673
Agreeableness,0.0,0.05435033829650526,0.02654422428415479,0.05113902217923081
Conscientiousness,0.4446165236337474,0.17131331218846382,0.2657419454957711,0.0793579836141269
Neuroticism,0.2803245187643586,0.13799232133156158,0.09708277673016792,0.13001035267458583
Openness,0.0,0.01001390778605862,0.014240694751403438,0.04834379359112829
Mobility,0.0,0.03913661901482123,0.0836260840969677,0.03342119913319348
Digital Usage,0.0,0.06473587797774898,0.13581482776298975,0.1080764992389461
Social Activity,0.0,0.04809638065926257,0.01824736440712927,0.05322445004539902
Physical Activity,0.0,0.0796775598298592,0.015347440543399255,0.11589718275834827
Screen Time,0.0,0.09246355560720673,0.1646200253971246,0.05656237020191051
Proximity,0.2750589576018941,0.1553175591922891,0.08545525979806391,0.12255500813848014
Face-to-Face,0.0,0.05506948214444074,0.027699193199904975,0.05255425310131673
Audio Environment,0.0,0.04262213127793219,0.04131219790426224,0.11297564056151706
