Outcome,Features,Model,R2,RMSE,MAE,N,p_features
GPA,Personality,Elastic Net,0.12597627373646192,0.36378961148128863,0.2907542926254013,27,5
GPA,Personality,Ridge,-0.0235346387926747,0.393676920064904,0.319784939670758,27,5
GPA,Personality,Random Forest,0.13495400216565978,0.36191641601585206,0.29381698879962925,27,5
GPA,Personality,SVR,0.06068009278573594,0.37713378968795835,0.2954847145957956,27,5
GPA,Behavior,Elastic Net,-0.12992460398916883,0.4136313187949942,0.3290798008665853,27,8
GPA,Behavior,Ridge,-0.5157923228727406,0.4790805434275147,0.35543478670006573,27,8
GPA,Behavior,Random Forest,-0.1401694638384694,0.4155022545917513,0.33667887411777253,27,8
GPA,Behavior,SVR,0.17475206027149615,0.35349307176354383,0.2843033453109402,27,8
GPA,Pers + Beh,Elastic Net,-0.43257495782486743,0.4657440973533465,0.3486156448657326,27,13
GPA,Pers + Beh,Ridge,-0.43264037381347653,0.4657547309200587,0.37714018289925044,27,13
GPA,Pers + Beh,Random Forest,-0.024622427850986117,0.393886059897659,0.31743761474204185,27,13
GPA,Pers + Beh,SVR,0.05596991852130573,0.37807816686311246,0.28721789210480314,27,13
PHQ-9,Personality,Elastic Net,-0.08625781306430436,5.430322087184696,4.22344532845987,27,5
PHQ-9,Personality,Ridge,-0.08959320892037792,5.43865270228725,4.025186927344344,27,5
PHQ-9,Personality,Random Forest,0.07248729116791441,5.017866092316642,3.83942144789367,27,5
PHQ-9,Personality,SVR,0.044870176995654654,5.092022755628197,3.4045420921884175,27,5
PHQ-9,Behavior,Elastic Net,0.4684714650989563,3.7985900397892842,3.2382049972083773,27,8
PHQ-9,Behavior,Ridge,0.4657734214997744,3.808218675011597,3.252458578068562,27,8
PHQ-9,Behavior,Random Forest,-0.19321409980898352,5.691389669671511,4.420850018808352,27,8
PHQ-9,Behavior,SVR,-0.07301869782141202,5.3971287430682455,3.614803061805659,27,8
PHQ-9,Pers + Beh,Elastic Net,0.35663602798933214,4.179145594002748,3.4324878991955474,27,13
PHQ-9,Pers + Beh,Ridge,0.14364832919078563,4.821533711630854,3.795672550882498,27,13
PHQ-9,Pers + Beh,Random Forest,-0.05418192970684266,5.349545881384219,4.147852891964003,27,13
PHQ-9,Pers + Beh,SVR,-0.06145438374270973,5.367966544294936,3.609675033088003,27,13
PSS,Personality,Elastic Net,0.43941007473844507,5.912012982692814,5.12129713770547,27,5
PSS,Personality,Ridge,0.4679112466490648,5.759765134065597,4.8405416763426,27,5
PSS,Personality,Random Forest,0.41337069310115626,6.047760897671097,4.844029958724405,27,5
PSS,Personality,SVR,0.1376180866047838,7.332676993415565,5.887126562631822,27,5
PSS,Behavior,Elastic Net,0.0007302886867552871,7.893217984382818,6.400845375328259,27,8
PSS,Behavior,Ridge,0.012528821342751462,7.846481392962627,6.4622753739201,27,8
PSS,Behavior,Random Forest,-0.2376025002523452,8.784222422533789,7.114299064618508,27,8
PSS,Behavior,SVR,-0.0598540727852539,8.128974690250065,6.70234955369368,27,8
PSS,Pers + Beh,Elastic Net,0.4090231499532526,6.07012968003214,4.892272034611399,27,13
PSS,Pers + Beh,Ridge,0.4184681910986008,6.02142764770776,4.695080697474154,27,13
PSS,Pers + Beh,Random Forest,0.28869360711345815,6.6594918355833865,5.183229394062727,27,13
PSS,Pers + Beh,SVR,0.051780197628927604,7.688953690707621,6.205947897833538,27,13
Loneliness,Personality,Elastic Net,0.2634100320701289,9.984651168251784,7.99021693859592,27,5
Loneliness,Personality,Ridge,0.1774049906802716,10.551471541938104,8.79941573497738,27,5
Loneliness,Personality,Random Forest,0.1474414439167796,10.741924742819313,8.849566346205236,27,5
Loneliness,Personality,SVR,-0.0536530947682925,11.941773244143935,10.526965283750785,27,5
Loneliness,Behavior,Elastic Net,0.11021484466121945,10.973939833472029,9.328193416990366,27,8
Loneliness,Behavior,Ridge,0.0910056157797583,11.091763396539832,9.70767199186627,27,8
Loneliness,Behavior,Random Forest,-0.14122688943078665,12.428135933766288,10.174980551341664,27,8
Loneliness,Behavior,SVR,-0.06288933035228195,11.993999338062833,10.48140228462017,27,8
Loneliness,Pers + Beh,Elastic Net,0.2917922043563229,9.790398025860458,7.6238338715505956,27,13
Loneliness,Pers + Beh,Ridge,0.39571332472060317,9.043603344813523,7.011279682230015,27,13
Loneliness,Pers + Beh,Random Forest,0.2366460630063969,10.164428651154203,8.458109637276305,27,13
Loneliness,Pers + Beh,SVR,-0.021086936466331974,11.75577747657382,10.262975653872031,27,13
Flourishing,Personality,Elastic Net,0.49539895042775284,5.040423279455456,3.8386552103067015,27,5
Flourishing,Personality,Ridge,0.4725963750509953,5.1530515750529196,3.8587969541637164,27,5
Flourishing,Personality,Random Forest,0.45772740336916495,5.2251861022820725,4.055543275654386,27,5
Flourishing,Personality,SVR,0.17792794899616338,6.433508447695048,4.916198846473406,27,5
Flourishing,Behavior,Elastic Net,-0.08426397486203707,7.388570951419827,5.912778459452351,27,8
Flourishing,Behavior,Ridge,0.0014737566519860135,7.090431663446121,5.498949427990245,27,8
Flourishing,Behavior,Random Forest,-0.303897377471267,8.102417913999117,6.443402408291299,27,8
Flourishing,Behavior,SVR,-0.03958960772489717,7.234756166781107,5.893056450305698,27,8
Flourishing,Pers + Beh,Elastic Net,0.3641297228702589,5.658185695604171,4.161157824734229,27,13
Flourishing,Pers + Beh,Ridge,0.3824647931632431,5.576013226340498,4.160893501492457,27,13
Flourishing,Pers + Beh,Random Forest,0.40086238574349364,5.492324984573833,4.246472986889651,27,13
Flourishing,Pers + Beh,SVR,0.07708041219658102,6.816710741779159,5.367651072173134,27,13
PANAS-NA,Personality,Elastic Net,-0.14777379537761992,0.9061375236008299,0.7147363848692195,27,5
PANAS-NA,Personality,Ridge,-0.10142503543457759,0.8876534276075053,0.6926690400241777,27,5
PANAS-NA,Personality,Random Forest,-0.30767399272961704,0.9671987036448131,0.7650530269341999,27,5
PANAS-NA,Personality,SVR,-0.5278477376193296,1.0454565796735193,0.8044122962948757,27,5
PANAS-NA,Behavior,Elastic Net,-0.07840236686390512,0.8783272941002116,0.6866096866096867,27,8
PANAS-NA,Behavior,Ridge,-0.1339232437989697,0.9006536044348917,0.6978265325709748,27,8
PANAS-NA,Behavior,Random Forest,-0.33718697707994894,0.9780521940873667,0.7654713440423314,27,8
PANAS-NA,Behavior,SVR,-0.3534089843512882,0.9839669017845403,0.7508643393085379,27,8
PANAS-NA,Pers + Beh,Elastic Net,-0.07840236686390512,0.8783272941002116,0.6866096866096867,27,13
PANAS-NA,Pers + Beh,Ridge,-0.25105422128811083,0.9460280832903614,0.7189841833214488,27,13
PANAS-NA,Pers + Beh,Random Forest,-0.4058611713978084,1.0028527751711611,0.7976793689278255,27,13
PANAS-NA,Pers + Beh,SVR,-0.3529027989888347,0.9837828789844255,0.7239066496837935,27,13
