From,To,boot_mean,boot_std,ci_lo,ci_hi,p_value,sig
ACTIVITY,GPA,-0.1513230467545078,0.5355265869093352,-0.9584528668637472,1.0580979334489056,0.6452,
ACTIVITY,WELLBEING,-0.177423199052757,0.18192866677592792,-0.5224607688470891,0.18477356886845764,0.1624,
AUDIO,GPA,0.17310475225004016,0.4170381050334672,-0.5046676570827846,1.075959447975714,0.772,
AUDIO,WELLBEING,-0.1820487473565709,0.13937125287427488,-0.42697977811670484,0.11565904636036481,0.1372,
DIGITAL,GPA,0.7173714244818491,0.5441034844696533,-0.23842024642476048,1.8419645207373196,0.1316,
DIGITAL,WELLBEING,-0.48927611522559217,0.16254490695512538,-0.796987851462029,-0.13777011108623702,0.0148,*
FACE2FACE,GPA,-0.3025177480454831,0.4113870153954236,-1.114149758517207,0.489400410579649,0.3912,
FACE2FACE,WELLBEING,0.01039782694052465,0.17081833059260815,-0.3255055920150921,0.3715033869756437,0.9672,
MOBILITY,GPA,0.099472229824463,0.4260258459814803,-0.6310680334540294,1.0250850739219073,0.844,
MOBILITY,WELLBEING,0.38164826606339664,0.13715821934394934,0.1268408841070999,0.652703860297486,0.0136,*
PERSONALITY,ACTIVITY,0.3025793996988048,0.5009767998323883,-0.5937961148190537,1.3588607805383919,0.5668,
PERSONALITY,AUDIO,-0.3098530608586644,0.567321360224845,-1.4174422972068377,0.8222625482366539,0.5836,
PERSONALITY,DIGITAL,0.06974277896771965,0.4181586019937599,-0.6416786591127358,1.0202434037996762,0.9316,
PERSONALITY,FACE2FACE,0.7934856080600545,0.4235171140518487,-0.05564367143524872,1.624115112011675,0.0688,
PERSONALITY,GPA,0.4563830553806805,0.7315744510665073,-0.9186900077443692,1.7864352164432094,0.4644,
PERSONALITY,MOBILITY,0.06683655253249492,0.4739008998961731,-0.8375095334158204,1.012555524291162,0.8884,
PERSONALITY,PROXIMITY,0.252665570687555,0.5378834008810129,-0.7900677672164803,1.3121728756576918,0.6352,
PERSONALITY,SCREEN,0.2900328493017122,0.5313757684148633,-0.6764208676347683,1.4287933485112296,0.61,
PERSONALITY,SOCIAL,0.17005088303743413,0.4576900032937323,-0.6535453142317724,1.1644523957682362,0.7336,
PERSONALITY,WELLBEING,0.36691125920070167,0.3528181361802515,-0.3420139711399289,1.0105173555472677,0.3012,
PROXIMITY,GPA,0.37823428345480664,0.2477419557765101,-0.10681023790172774,0.8485160308780904,0.112,
PROXIMITY,WELLBEING,-0.04003367841013812,0.11367595429535982,-0.2686633762299042,0.19015762765056576,0.6756,
SCREEN,GPA,0.12622537587294483,0.39112296069891034,-0.6787115841788237,0.886481706348079,0.6736,
SCREEN,WELLBEING,0.252282968924018,0.17606277857010302,-0.08659021326032112,0.5844644929549029,0.1264,
SOCIAL,GPA,-0.4407624129827661,0.39896224520200285,-1.3741905771516107,0.23788397397509306,0.1528,
SOCIAL,WELLBEING,-0.13794845800643163,0.1786729719603367,-0.5820060159950408,0.1490470558342845,0.3408,
WELLBEING,GPA,0.8784554141994982,0.7216986535317562,-0.3906177009283903,2.246758256013298,0.1352,
